X (g),Y (g),Z (g),Timestamp,time (s)
0.94,-0.08,0.3,2025-02-11 11:06:34,0.0
0.94,-0.09,0.3,2025-02-11 11:06:34,0.008771929824561403
0.93,-0.09,0.29,2025-02-11 11:06:34,0.017543859649122806
0.93,-0.09,0.28,2025-02-11 11:06:34,0.02631578947368421
0.92,-0.1,0.26,2025-02-11 11:06:34,0.03508771929824561
0.92,-0.1,0.26,2025-02-11 11:06:34,0.043859649122807015
0.92,-0.1,0.26,2025-02-11 11:06:34,0.05263157894736842
0.92,-0.1,0.26,2025-02-11 11:06:34,0.06140350877192982
0.92,-0.1,0.27,2025-02-11 11:06:34,0.07017543859649122
0.93,-0.09,0.27,2025-02-11 11:06:34,0.07894736842105263
0.93,-0.09,0.27,2025-02-11 11:06:34,0.08771929824561403
0.93,-0.09,0.28,2025-02-11 11:06:34,0.09649122807017543
0.94,-0.09,0.29,2025-02-11 11:06:34,0.10526315789473684
0.94,-0.09,0.29,2025-02-11 11:06:34,0.11403508771929824
0.94,-0.1,0.29,2025-02-11 11:06:34,0.12280701754385964
0.95,-0.09,0.29,2025-02-11 11:06:34,0.13157894736842105
0.95,-0.09,0.3,2025-02-11 11:06:34,0.14035087719298245
0.95,-0.09,0.3,2025-02-11 11:06:34,0.14912280701754385
0.95,-0.08,0.3,2025-02-11 11:06:34,0.15789473684210525
0.95,-0.08,0.29,2025-02-11 11:06:34,0.16666666666666666
0.95,-0.08,0.29,2025-02-11 11:06:34,0.17543859649122806
0.95,-0.08,0.29,2025-02-11 11:06:34,0.18421052631578946
0.94,-0.07,0.28,2025-02-11 11:06:34,0.19298245614035087
0.93,-0.07,0.28,2025-02-11 11:06:34,0.20175438596491227
0.94,-0.07,0.28,2025-02-11 11:06:34,0.21052631578947367
0.93,-0.07,0.28,2025-02-11 11:06:34,0.21929824561403508
0.94,-0.06,0.27,2025-02-11 11:06:34,0.22807017543859648
0.94,-0.06,0.27,2025-02-11 11:06:34,0.23684210526315788
0.94,-0.05,0.28,2025-02-11 11:06:34,0.24561403508771928
0.94,-0.05,0.28,2025-02-11 11:06:34,0.2543859649122807
0.94,-0.04,0.28,2025-02-11 11:06:34,0.2631578947368421
0.94,-0.05,0.28,2025-02-11 11:06:34,0.27192982456140347
0.94,-0.05,0.28,2025-02-11 11:06:34,0.2807017543859649
0.93,-0.05,0.29,2025-02-11 11:06:34,0.2894736842105263
0.93,-0.05,0.29,2025-02-11 11:06:34,0.2982456140350877
0.92,-0.05,0.29,2025-02-11 11:06:34,0.3070175438596491
0.92,-0.04,0.3,2025-02-11 11:06:34,0.3157894736842105
0.92,-0.04,0.3,2025-02-11 11:06:34,0.32456140350877194
0.93,-0.03,0.31,2025-02-11 11:06:34,0.3333333333333333
0.94,-0.02,0.32,2025-02-11 11:06:34,0.3421052631578947
0.95,-0.01,0.34,2025-02-11 11:06:34,0.3508771929824561
0.94,-0.0,0.35,2025-02-11 11:06:34,0.35964912280701755
0.92,0.01,0.35,2025-02-11 11:06:34,0.3684210526315789
0.91,-0.0,0.32,2025-02-11 11:06:34,0.3771929824561403
0.92,-0.03,0.3,2025-02-11 11:06:34,0.38596491228070173
0.93,-0.06,0.27,2025-02-11 11:06:34,0.39473684210526316
0.93,-0.09,0.25,2025-02-11 11:06:34,0.40350877192982454
0.95,-0.11,0.23,2025-02-11 11:06:34,0.4122807017543859
0.96,-0.13,0.24,2025-02-11 11:06:34,0.42105263157894735
0.97,-0.14,0.25,2025-02-11 11:06:34,0.4298245614035088
0.97,-0.13,0.26,2025-02-11 11:06:34,0.43859649122807015
0.96,-0.14,0.27,2025-02-11 11:06:34,0.4473684210526315
0.96,-0.13,0.27,2025-02-11 11:06:34,0.45614035087719296
0.95,-0.13,0.27,2025-02-11 11:06:34,0.4649122807017544
0.92,-0.11,0.27,2025-02-11 11:06:34,0.47368421052631576
0.91,-0.09,0.26,2025-02-11 11:06:34,0.48245614035087714
0.87,-0.07,0.26,2025-02-11 11:06:34,0.49122807017543857
0.85,-0.04,0.25,2025-02-11 11:06:34,0.5
0.83,-0.04,0.24,2025-02-11 11:06:34,0.5087719298245614
0.82,-0.02,0.24,2025-02-11 11:06:34,0.5175438596491228
0.79,0.02,0.23,2025-02-11 11:06:34,0.5263157894736842
0.78,0.02,0.23,2025-02-11 11:06:34,0.5350877192982456
0.79,-0.0,0.23,2025-02-11 11:06:34,0.5438596491228069
0.81,-0.02,0.23,2025-02-11 11:06:34,0.5526315789473684
0.83,-0.06,0.24,2025-02-11 11:06:34,0.5614035087719298
0.85,-0.08,0.25,2025-02-11 11:06:34,0.5701754385964912
0.88,-0.12,0.26,2025-02-11 11:06:34,0.5789473684210527
0.9,-0.15,0.29,2025-02-11 11:06:34,0.587719298245614
0.92,-0.2,0.3,2025-02-11 11:06:34,0.5964912280701754
0.95,-0.21,0.31,2025-02-11 11:06:34,0.6052631578947368
0.94,-0.22,0.33,2025-02-11 11:06:34,0.6140350877192982
0.95,-0.25,0.33,2025-02-11 11:06:34,0.6228070175438596
0.95,-0.23,0.33,2025-02-11 11:06:34,0.631578947368421
0.95,-0.24,0.32,2025-02-11 11:06:34,0.6403508771929824
0.96,-0.22,0.31,2025-02-11 11:06:34,0.6491228070175439
0.97,-0.2,0.32,2025-02-11 11:06:34,0.6578947368421052
0.97,-0.19,0.32,2025-02-11 11:06:34,0.6666666666666666
0.97,-0.18,0.32,2025-02-11 11:06:34,0.6754385964912281
0.97,-0.17,0.32,2025-02-11 11:06:34,0.6842105263157894
0.97,-0.15,0.33,2025-02-11 11:06:34,0.6929824561403508
0.96,-0.13,0.33,2025-02-11 11:06:34,0.7017543859649122
0.95,-0.11,0.32,2025-02-11 11:06:34,0.7105263157894737
0.94,-0.09,0.32,2025-02-11 11:06:34,0.7192982456140351
0.93,-0.08,0.31,2025-02-11 11:06:34,0.7280701754385964
0.92,-0.06,0.31,2025-02-11 11:06:34,0.7368421052631579
0.93,-0.06,0.3,2025-02-11 11:06:34,0.7456140350877193
0.92,-0.06,0.31,2025-02-11 11:06:34,0.7543859649122806
0.93,-0.06,0.31,2025-02-11 11:06:34,0.763157894736842
0.94,-0.09,0.32,2025-02-11 11:06:34,0.7719298245614035
0.94,-0.09,0.32,2025-02-11 11:06:34,0.7807017543859649
0.94,-0.12,0.32,2025-02-11 11:06:34,0.7894736842105263
0.94,-0.12,0.32,2025-02-11 11:06:34,0.7982456140350876
0.95,-0.14,0.32,2025-02-11 11:06:34,0.8070175438596491
0.93,-0.14,0.33,2025-02-11 11:06:34,0.8157894736842105
0.92,-0.13,0.34,2025-02-11 11:06:34,0.8245614035087718
0.92,-0.13,0.34,2025-02-11 11:06:34,0.8333333333333333
0.91,-0.13,0.35,2025-02-11 11:06:34,0.8421052631578947
0.93,-0.11,0.36,2025-02-11 11:06:34,0.8508771929824561
0.91,-0.11,0.37,2025-02-11 11:06:34,0.8596491228070176
0.94,-0.11,0.38,2025-02-11 11:06:34,0.8684210526315789
0.95,-0.1,0.39,2025-02-11 11:06:34,0.8771929824561403
0.96,-0.11,0.4,2025-02-11 11:06:34,0.8859649122807017
0.96,-0.12,0.4,2025-02-11 11:06:34,0.894736842105263
0.95,-0.13,0.4,2025-02-11 11:06:34,0.9035087719298245
0.96,-0.13,0.4,2025-02-11 11:06:34,0.9122807017543859
0.94,-0.14,0.4,2025-02-11 11:06:34,0.9210526315789473
0.94,-0.13,0.4,2025-02-11 11:06:34,0.9298245614035088
0.94,-0.11,0.4,2025-02-11 11:06:34,0.9385964912280701
0.94,-0.1,0.41,2025-02-11 11:06:34,0.9473684210526315
0.94,-0.09,0.41,2025-02-11 11:06:34,0.956140350877193
0.95,-0.1,0.4,2025-02-11 11:06:34,0.9649122807017543
0.96,-0.09,0.4,2025-02-11 11:06:34,0.9736842105263157
0.96,-0.11,0.4,2025-02-11 11:06:34,0.9824561403508771
0.98,-0.1,0.4,2025-02-11 11:06:34,0.9912280701754386
0.99,-0.11,0.39,2025-02-11 11:06:35,1.0
1.02,-0.11,0.39,2025-02-11 11:06:35,1.00990099009901
1.03,-0.1,0.38,2025-02-11 11:06:35,1.0198019801980198
1.03,-0.09,0.38,2025-02-11 11:06:35,1.0297029702970297
1.1,-0.06,0.36,2025-02-11 11:06:35,1.0396039603960396
1.14,-0.07,0.3,2025-02-11 11:06:35,1.0495049504950495
1.11,-0.05,0.21,2025-02-11 11:06:35,1.0594059405940595
1.16,-0.0,0.11,2025-02-11 11:06:35,1.0693069306930694
1.2,-0.02,0.1,2025-02-11 11:06:35,1.0792079207920793
1.22,-0.04,0.09,2025-02-11 11:06:35,1.0891089108910892
1.21,-0.03,0.1,2025-02-11 11:06:35,1.099009900990099
1.2,-0.04,0.1,2025-02-11 11:06:35,1.108910891089109
1.17,-0.03,0.11,2025-02-11 11:06:35,1.118811881188119
1.12,-0.03,0.12,2025-02-11 11:06:35,1.1287128712871288
1.07,-0.02,0.11,2025-02-11 11:06:35,1.1386138613861387
1.03,-0.0,0.11,2025-02-11 11:06:35,1.1485148514851484
0.99,-0.02,0.09,2025-02-11 11:06:35,1.1584158415841583
0.95,-0.02,0.09,2025-02-11 11:06:35,1.1683168316831682
0.95,-0.03,0.08,2025-02-11 11:06:35,1.1782178217821782
0.93,-0.02,0.08,2025-02-11 11:06:35,1.188118811881188
0.92,-0.05,0.08,2025-02-11 11:06:35,1.198019801980198
0.94,-0.03,0.08,2025-02-11 11:06:35,1.2079207920792079
0.93,-0.05,0.08,2025-02-11 11:06:35,1.2178217821782178
0.97,-0.05,0.08,2025-02-11 11:06:35,1.2277227722772277
0.97,-0.06,0.09,2025-02-11 11:06:35,1.2376237623762376
0.98,-0.06,0.1,2025-02-11 11:06:35,1.2475247524752475
0.98,-0.06,0.1,2025-02-11 11:06:35,1.2574257425742574
0.96,-0.06,0.11,2025-02-11 11:06:35,1.2673267326732673
0.95,-0.04,0.13,2025-02-11 11:06:35,1.2772277227722773
0.91,-0.04,0.14,2025-02-11 11:06:35,1.2871287128712872
0.88,-0.02,0.15,2025-02-11 11:06:35,1.297029702970297
0.85,-0.03,0.16,2025-02-11 11:06:35,1.306930693069307
0.82,-0.02,0.16,2025-02-11 11:06:35,1.316831683168317
0.79,-0.03,0.15,2025-02-11 11:06:35,1.3267326732673268
0.75,-0.03,0.16,2025-02-11 11:06:35,1.3366336633663367
0.73,-0.05,0.17,2025-02-11 11:06:35,1.3465346534653466
0.7,-0.04,0.16,2025-02-11 11:06:35,1.3564356435643563
0.68,-0.04,0.16,2025-02-11 11:06:35,1.3663366336633662
0.67,-0.04,0.16,2025-02-11 11:06:35,1.3762376237623761
0.67,-0.04,0.16,2025-02-11 11:06:35,1.386138613861386
0.66,-0.03,0.16,2025-02-11 11:06:35,1.396039603960396
0.67,-0.04,0.16,2025-02-11 11:06:35,1.4059405940594059
0.67,-0.04,0.17,2025-02-11 11:06:35,1.4158415841584158
0.68,-0.04,0.17,2025-02-11 11:06:35,1.4257425742574257
0.69,-0.04,0.17,2025-02-11 11:06:35,1.4356435643564356
0.71,-0.04,0.18,2025-02-11 11:06:35,1.4455445544554455
0.73,-0.04,0.19,2025-02-11 11:06:35,1.4554455445544554
0.75,-0.05,0.21,2025-02-11 11:06:35,1.4653465346534653
0.77,-0.04,0.24,2025-02-11 11:06:35,1.4752475247524752
0.79,-0.04,0.26,2025-02-11 11:06:35,1.4851485148514851
0.81,-0.05,0.27,2025-02-11 11:06:35,1.495049504950495
0.82,-0.05,0.28,2025-02-11 11:06:35,1.504950495049505
0.83,-0.05,0.28,2025-02-11 11:06:35,1.5148514851485149
0.84,-0.06,0.29,2025-02-11 11:06:35,1.5247524752475248
0.87,-0.06,0.3,2025-02-11 11:06:35,1.5346534653465347
0.84,-0.08,0.32,2025-02-11 11:06:35,1.5445544554455446
0.86,-0.08,0.34,2025-02-11 11:06:35,1.5544554455445545
0.87,-0.05,0.37,2025-02-11 11:06:35,1.5643564356435644
0.88,-0.03,0.38,2025-02-11 11:06:35,1.5742574257425743
0.9,-0.03,0.39,2025-02-11 11:06:35,1.5841584158415842
0.92,-0.01,0.41,2025-02-11 11:06:35,1.5940594059405941
0.95,-0.0,0.43,2025-02-11 11:06:35,1.603960396039604
0.97,0.01,0.45,2025-02-11 11:06:35,1.613861386138614
0.99,0.01,0.45,2025-02-11 11:06:35,1.6237623762376239
1.0,0.02,0.45,2025-02-11 11:06:35,1.6336633663366338
1.0,0.01,0.45,2025-02-11 11:06:35,1.6435643564356437
1.0,0.0,0.44,2025-02-11 11:06:35,1.6534653465346536
1.0,-0.02,0.42,2025-02-11 11:06:35,1.6633663366336635
1.01,-0.04,0.41,2025-02-11 11:06:35,1.6732673267326734
1.01,-0.05,0.42,2025-02-11 11:06:35,1.6831683168316833
1.01,-0.06,0.42,2025-02-11 11:06:35,1.6930693069306932
1.0,-0.07,0.43,2025-02-11 11:06:35,1.702970297029703
1.0,-0.07,0.43,2025-02-11 11:06:35,1.7128712871287128
1.0,-0.07,0.43,2025-02-11 11:06:35,1.7227722772277227
1.03,-0.08,0.42,2025-02-11 11:06:35,1.7326732673267327
1.05,-0.08,0.42,2025-02-11 11:06:35,1.7425742574257426
1.08,-0.09,0.42,2025-02-11 11:06:35,1.7524752475247525
1.1,-0.11,0.42,2025-02-11 11:06:35,1.7623762376237624
1.12,-0.12,0.42,2025-02-11 11:06:35,1.7722772277227723
1.15,-0.14,0.42,2025-02-11 11:06:35,1.7821782178217822
1.18,-0.16,0.42,2025-02-11 11:06:35,1.7920792079207921
1.2,-0.18,0.42,2025-02-11 11:06:35,1.801980198019802
1.2,-0.19,0.42,2025-02-11 11:06:35,1.811881188118812
1.2,-0.2,0.43,2025-02-11 11:06:35,1.8217821782178218
1.18,-0.21,0.43,2025-02-11 11:06:35,1.8316831683168315
1.16,-0.22,0.43,2025-02-11 11:06:35,1.8415841584158414
1.14,-0.23,0.42,2025-02-11 11:06:35,1.8514851485148514
1.13,-0.23,0.4,2025-02-11 11:06:35,1.8613861386138613
1.13,-0.23,0.38,2025-02-11 11:06:35,1.8712871287128712
1.12,-0.23,0.36,2025-02-11 11:06:35,1.881188118811881
1.12,-0.22,0.33,2025-02-11 11:06:35,1.891089108910891
1.13,-0.21,0.32,2025-02-11 11:06:35,1.900990099009901
1.13,-0.2,0.3,2025-02-11 11:06:35,1.9108910891089108
1.14,-0.19,0.29,2025-02-11 11:06:35,1.9207920792079207
1.14,-0.19,0.28,2025-02-11 11:06:35,1.9306930693069306
1.15,-0.19,0.27,2025-02-11 11:06:35,1.9405940594059405
1.14,-0.17,0.26,2025-02-11 11:06:35,1.9504950495049505
1.12,-0.17,0.25,2025-02-11 11:06:35,1.9603960396039604
1.1,-0.17,0.24,2025-02-11 11:06:35,1.9702970297029703
1.07,-0.17,0.23,2025-02-11 11:06:35,1.9801980198019802
0.95,-0.15,0.2,2025-02-11 11:06:35,1.99009900990099
0.91,-0.14,0.19,2025-02-11 11:06:36,2.0
0.88,-0.14,0.19,2025-02-11 11:06:36,2.009259259259259
0.85,-0.15,0.18,2025-02-11 11:06:36,2.0185185185185186
0.82,-0.15,0.17,2025-02-11 11:06:36,2.0277777777777777
0.8,-0.13,0.16,2025-02-11 11:06:36,2.037037037037037
0.8,-0.13,0.15,2025-02-11 11:06:36,2.0462962962962963
0.78,-0.15,0.14,2025-02-11 11:06:36,2.0555555555555554
0.78,-0.14,0.14,2025-02-11 11:06:36,2.064814814814815
0.78,-0.15,0.14,2025-02-11 11:06:36,2.074074074074074
0.78,-0.16,0.13,2025-02-11 11:06:36,2.0833333333333335
0.78,-0.15,0.13,2025-02-11 11:06:36,2.0925925925925926
0.78,-0.15,0.12,2025-02-11 11:06:36,2.1018518518518516
0.77,-0.14,0.12,2025-02-11 11:06:36,2.111111111111111
0.77,-0.14,0.12,2025-02-11 11:06:36,2.1203703703703702
0.77,-0.13,0.12,2025-02-11 11:06:36,2.1296296296296298
0.76,-0.13,0.13,2025-02-11 11:06:36,2.138888888888889
0.76,-0.12,0.14,2025-02-11 11:06:36,2.148148148148148
0.75,-0.12,0.15,2025-02-11 11:06:36,2.1574074074074074
0.74,-0.1,0.17,2025-02-11 11:06:36,2.1666666666666665
0.73,-0.1,0.19,2025-02-11 11:06:36,2.175925925925926
0.73,-0.09,0.19,2025-02-11 11:06:36,2.185185185185185
0.74,-0.08,0.18,2025-02-11 11:06:36,2.1944444444444446
0.75,-0.07,0.18,2025-02-11 11:06:36,2.2037037037037037
0.76,-0.06,0.18,2025-02-11 11:06:36,2.212962962962963
0.78,-0.05,0.19,2025-02-11 11:06:36,2.2222222222222223
0.81,-0.01,0.27,2025-02-11 11:06:36,2.2314814814814814
0.82,0.0,0.29,2025-02-11 11:06:36,2.240740740740741
0.83,0.01,0.3,2025-02-11 11:06:36,2.25
0.85,0.02,0.3,2025-02-11 11:06:36,2.259259259259259
0.86,0.02,0.29,2025-02-11 11:06:36,2.2685185185185186
0.88,0.02,0.28,2025-02-11 11:06:36,2.2777777777777777
0.91,0.03,0.28,2025-02-11 11:06:36,2.287037037037037
0.94,0.04,0.28,2025-02-11 11:06:36,2.2962962962962963
0.97,0.05,0.29,2025-02-11 11:06:36,2.3055555555555554
1.0,0.07,0.31,2025-02-11 11:06:36,2.314814814814815
1.03,0.07,0.32,2025-02-11 11:06:36,2.324074074074074
1.06,0.08,0.33,2025-02-11 11:06:36,2.3333333333333335
1.17,0.08,0.36,2025-02-11 11:06:36,2.3425925925925926
1.22,0.07,0.36,2025-02-11 11:06:36,2.351851851851852
1.25,0.06,0.36,2025-02-11 11:06:36,2.361111111111111
1.26,0.04,0.37,2025-02-11 11:06:36,2.3703703703703702
1.27,0.01,0.37,2025-02-11 11:06:36,2.3796296296296298
1.26,-0.02,0.39,2025-02-11 11:06:36,2.388888888888889
1.25,-0.04,0.4,2025-02-11 11:06:36,2.398148148148148
1.23,-0.03,0.43,2025-02-11 11:06:36,2.4074074074074074
1.27,-0.05,0.43,2025-02-11 11:06:36,2.4166666666666665
1.16,-0.12,0.43,2025-02-11 11:06:36,2.425925925925926
1.22,-0.14,0.44,2025-02-11 11:06:36,2.435185185185185
1.17,-0.15,0.44,2025-02-11 11:06:36,2.4444444444444446
1.2,-0.13,0.45,2025-02-11 11:06:36,2.4537037037037037
1.27,-0.18,0.46,2025-02-11 11:06:36,2.462962962962963
1.22,-0.25,0.46,2025-02-11 11:06:36,2.4722222222222223
1.17,-0.12,0.47,2025-02-11 11:06:36,2.4814814814814814
1.18,-0.23,0.46,2025-02-11 11:06:36,2.4907407407407405
1.24,-0.25,0.47,2025-02-11 11:06:36,2.5
1.09,-0.18,0.46,2025-02-11 11:06:36,2.509259259259259
1.12,-0.12,0.47,2025-02-11 11:06:36,2.5185185185185186
1.1,-0.14,0.44,2025-02-11 11:06:36,2.5277777777777777
