time (s),X (g),Y (g),Z (g),acceleration (g)
0.0,0.96,-0.18,0.11,0.9829038610159184
0.01,0.96,-0.2,0.12,0.9879271228182775
0.02,0.9633333333333334,-0.20166666666666666,0.125,0.99215381355439
0.03,0.9666666666666667,-0.20333333333333334,0.13,0.9963805042905025
0.04,0.97,-0.18,0.14,0.9964436762808021
0.05,0.98,-0.18,0.14,1.0061808982484213
0.06,0.97,-0.17,0.15,0.9961425600786264
0.07,0.97,-0.16,0.15,0.9944847912361455
0.08,0.97,-0.16,0.15,0.9944847912361455
0.09,0.97,-0.155,0.15,0.9937048816127347
0.1,0.97,-0.15,0.15,0.9929249719893241
0.11,0.9666666666666667,-0.15,0.14777777777777779,0.9893413853017319
0.12,0.9633333333333333,-0.15,0.14555555555555555,0.9857577986141398
0.13,0.96,-0.15,0.14333333333333334,0.9821742119265476
0.14,0.97,-0.18,0.14,0.9964436762808021
0.15,0.97,-0.18,0.14,0.9964436762808021
0.16,0.97,-0.18,0.14,0.9964436762808021
0.17,0.97,-0.18,0.14,0.9964436762808021
0.18,0.9691666666666666,-0.18166666666666667,0.14,0.9959433468740758
0.19,0.9683333333333333,-0.18333333333333332,0.14,0.9954430174673495
0.2,0.9675,-0.185,0.14,0.9949426880606232
0.21,0.9666666666666667,-0.18666666666666668,0.14,0.994442358653897
0.22,0.9658333333333333,-0.18833333333333332,0.14,0.9939420292471707
0.23,0.965,-0.19,0.14,0.9934416998404444
0.24,0.96,-0.20500000000000002,0.13,0.9902267056254517
0.25,0.96,-0.21,0.11,0.9888876390435379
0.26,0.96,-0.20500000000000002,0.12,0.9889635614091388
0.27,0.96,-0.2025,0.12,0.9884453421137082
0.28,0.96,-0.2,0.12,0.9879271228182775
0.29,0.96,-0.2,0.12,0.9879271228182775
0.3,0.96,-0.2,0.12,0.9879271228182775
0.31,0.965,-0.2,0.125,0.9934132585759305
0.32,0.97,-0.2,0.13,0.9988993943335835
0.33,0.97,-0.2,0.13,0.9988993943335835
0.34,0.965,-0.20500000000000002,0.125,0.9944496971667918
0.35,0.97,-0.21,0.12,0.9996999549864949
0.36,0.97,-0.21333333333333332,0.12,1.0004160672938334
0.37,0.97,-0.21666666666666667,0.12,1.001132179601172
0.38,0.97,-0.22,0.12,1.0018482919085105
0.39,0.97,-0.215,0.13,1.0020223795081042
0.4,0.97,-0.21,0.13,1.000949549178179
0.41,0.97,-0.20500000000000002,0.14,1.001273664911938
0.42,0.965,-0.2025,0.135,0.9952326270195702
0.43,0.96,-0.2,0.13,0.9891915891272024
0.44,0.96,-0.2,0.14,0.9905553997631833
0.45,0.96,-0.19,0.14,0.9885848471426213
0.46,0.95,-0.19,0.14,0.9788769074812216
0.47,0.95,-0.18,0.14,0.9769851585361979
0.48,0.95,-0.17,0.15,0.9766780431646859
0.49,0.9507142857142856,-0.1692857142857143,0.1525,0.9776580252220496
0.5,0.9514285714285714,-0.1685714285714286,0.155,0.9786380072794133
0.51,0.9521428571428571,-0.16785714285714287,0.1575,0.979617989336777
0.52,0.9528571428571428,-0.16714285714285715,0.16,0.9805979713941407
0.53,0.9535714285714285,-0.16642857142857143,0.1625,0.9815779534515044
0.54,0.9542857142857143,-0.16571428571428573,0.165,0.9825579355088682
0.55,0.955,-0.165,0.1675,0.9835379175662319
0.56,0.96,-0.195,0.155,0.9918149458161228
0.57,0.96,-0.185,0.1575,0.9903387666768817
0.58,0.96,-0.175,0.16,0.9888625875376404
0.59,0.95,-0.17,0.15,0.9766780431646859
0.6,0.9475,-0.175,0.15,0.9751465934049612
0.61,0.945,-0.18,0.15,0.9736151436452365
0.62,0.95,-0.19,0.15,0.9803570778037969
0.63,0.945,-0.19,0.155,0.976311236835292
0.64,0.94,-0.19,0.16,0.972265395866787
0.65,0.945,-0.2,0.16,0.9790948426098658
0.66,0.94,-0.2,0.14500000000000002,0.9719816249824689
0.67,0.94,-0.21250000000000002,0.1375,0.9736250682024319
0.68,0.94,-0.225,0.13,0.975268511422395
0.69,0.94,-0.22,0.12,0.9728309205612247
0.7,0.94,-0.21,0.12,0.9706183596038146
0.71,0.94,-0.2,0.12,0.9685534244649969
0.72,0.94,-0.19,0.1175,0.9662646903507751
0.73,0.94,-0.18,0.11499999999999999,0.9639759562365533
0.74,0.95,-0.19,0.1,0.9739609848448756
0.75,0.95,-0.21,0.1,0.9780593029055038
0.76,0.95,-0.21,0.1,0.9780593029055038
0.77,0.95,-0.21,0.1,0.9780593029055038
0.78,0.9466666666666667,-0.21,0.11333333333333333,0.9762903891411087
0.79,0.9475,-0.2075,0.11499999999999999,0.9767709558100114
0.8,0.9483333333333333,-0.20500000000000002,0.11666666666666667,0.9772515224789142
0.81,0.9491666666666666,-0.2025,0.11833333333333333,0.977732089147817
0.82,0.95,-0.2,0.12,0.9782126558167197
0.83,0.95,-0.215,0.125,0.9820385888674845
0.84,0.95,-0.2,0.12,0.9782126558167197
0.85,0.9499999999999998,-0.19333333333333336,0.11,0.9757044188685672
0.86,0.95,-0.19,0.12,0.9762171889492625
0.87,0.95,-0.18,0.125,0.9750120756698266
0.88,0.95,-0.17,0.13,0.9738069623903908
0.89,0.95,-0.17,0.13,0.9738069623903908
0.9,0.95,-0.17333333333333334,0.14500000000000002,0.976647185119663
0.91,0.9499999999999998,-0.17666666666666667,0.16,0.9794874078489352
0.92,0.9522222222222221,-0.1811111111111111,0.16555555555555557,0.9834100869525803
0.93,0.9544444444444444,-0.18555555555555558,0.1711111111111111,0.9873327660562254
0.94,0.9566666666666667,-0.19000000000000003,0.17666666666666667,0.9912554451598705
0.95,0.96,-0.19,0.18,0.9950376877284598
0.96,0.9583333333333333,-0.185,0.175,0.9916120817000045
0.97,0.9566666666666667,-0.18000000000000002,0.17,0.988186475671549
0.98,0.955,-0.175,0.16,0.9840056053221689
0.99,0.9524999999999999,-0.1725,0.16,0.9811346867169084
1.0,0.95,-0.17,0.16,0.9782637681116478
1.01,0.95,-0.17,0.15,0.9766780431646859
1.02,0.95,-0.1725,0.155,0.9779177183802872
1.03,0.95,-0.175,0.16,0.9791573935958886
1.04,0.95,-0.16999999999999998,0.16,0.9783133988612106
1.05,0.95,-0.16499999999999998,0.16,0.9774694041265326
1.06,0.95,-0.16,0.16,0.9766254093918546
1.07,0.95,-0.155,0.16,0.9757814146571766
1.08,0.9366666666666666,-0.14666666666666667,0.15333333333333335,0.9604514209768014
1.09,0.93,-0.16,0.14,0.9539916142189092
1.1,0.92,-0.17,0.13,0.9445633912025175
1.11,0.9225000000000001,-0.175,0.125,0.9472828166291964
1.12,0.925,-0.18,0.12,0.9500022420558754
1.13,0.93,-0.19,0.11,0.9555626614722867
1.14,0.93,-0.2,0.1,0.9565040512198577
